,0,1,2,3,4
2,75,6.4,2.9,4.3,1.3
3,16,5.7,4.4,1.5,0.4
4,131,7.4,2.8,6.1,1.9
5,56,5.7,2.8,4.5,1.3
6,141,6.7,3.1,5.6,2.4
7,44,5.0,3.5,1.6,0.6
8,29,5.2,3.4,1.4,0.2
9,120,6.0,2.2,5.0,1.5
10,94,5.0,2.3,3.3,1.0
11,5,5.0,3.6,1.4,0.2
12,102,5.8,2.7,5.1,1.9
13,51,7.0,3.2,4.7,1.4
14,78,6.7,3.0,5.0,1.7
15,42,4.5,2.3,1.3,0.3
16,92,6.1,3.0,4.6,1.4
17,66,6.7,3.1,4.4,1.4
18,31,4.8,3.1,1.6,0.2
19,35,4.9,3.1,1.5,0.1
20,90,5.5,2.5,4.0,1.3
21,84,6.0,2.7,5.1,1.6
22,77,6.8,2.8,4.8,1.4
23,40,5.1,3.4,1.5,0.2
24,125,6.7,3.3,5.7,2.1
25,99,5.1,2.5,3.0,1.1
26,33,5.2,4.1,1.5,0.1
27,19,5.7,3.8,1.7,0.3
28,73,6.3,2.5,4.9,1.5
29,147,6.3,2.5,5.0,1.9
30,91,5.5,2.6,4.4,1.2
31,135,6.1,2.6,5.6,1.4
32,69,6.2,2.2,4.5,1.5
33,128,6.1,3.0,4.9,1.8
34,114,5.7,2.5,5.0,2.0
35,48,4.6,3.2,1.4,0.2
36,53,6.9,3.1,4.9,1.5
37,28,5.2,3.5,1.5,0.2
38,54,5.5,2.3,4.0,1.3
39,108,7.3,2.9,6.3,1.8
40,112,6.4,2.7,5.3,1.9
41,17,5.4,3.9,1.3,0.4
42,119,7.7,2.6,6.9,2.3
43,103,7.1,3.0,5.9,2.1
44,58,4.9,2.4,3.3,1.0
45,118,7.7,3.8,6.7,2.2
46,18,5.1,3.5,1.4,0.3
47,4,4.6,3.1,1.5,0.2
48,45,5.1,3.8,1.9,0.4
49,59,6.6,2.9,4.6,1.3
50,39,4.4,3.0,1.3,0.2
51,36,5.0,3.2,1.2,0.2
52,117,6.5,3.0,5.5,1.8
53,139,6.0,3.0,4.8,1.8
54,107,4.9,2.5,4.5,1.7
55,132,7.9,3.8,6.4,2.0
56,126,7.2,3.2,6.0,1.8
57,85,5.4,3.0,4.5,1.5
58,122,5.6,2.8,4.9,2.0
59,95,5.6,2.7,4.2,1.3
60,11,5.4,3.7,1.5,0.2
61,113,6.8,3.0,5.5,2.1
62,123,7.7,2.8,6.7,2.0
63,12,4.8,3.4,1.6,0.2
64,2,4.9,3.0,1.4,0.2
65,104,6.3,2.9,5.6,1.8
66,6,5.4,3.9,1.7,0.4
67,127,6.2,2.8,4.8,1.8
68,110,7.2,3.6,6.1,2.5
69,65,5.6,2.9,3.6,1.3
70,55,6.5,2.8,4.6,1.5
71,145,6.7,3.3,5.7,2.5
72,138,6.4,3.1,5.5,1.8
73,46,4.8,3.0,1.4,0.3
74,62,5.9,3.0,4.2,1.5
75,74,6.1,2.8,4.7,1.2
76,116,6.4,3.2,5.3,2.3
77,93,5.8,2.6,4.0,1.2
78,100,5.7,2.8,4.1,1.3
79,89,5.6,3.0,4.1,1.3
80,10,4.9,3.1,1.5,0.1
81,34,5.5,4.2,1.4,0.2
82,32,5.4,3.4,1.5,0.4
83,124,6.3,2.7,4.9,1.8
84,38,4.9,3.1,1.5,0.1
85,83,5.8,2.7,3.9,1.2
86,111,6.5,3.2,5.1,2.0
87,150,5.9,3.0,5.1,1.8
88,27,5.0,3.4,1.6,0.4
89,23,4.6,3.6,1.0,0.2
90,67,5.6,3.0,4.5,1.5
91,9,4.4,2.9,1.4,0.2
92,130,7.2,3.0,5.8,1.6
93,97,5.7,2.9,4.2,1.3
94,105,6.5,3.0,5.8,2.2
95,146,6.7,3.0,5.2,2.3
96,87,6.7,3.1,4.7,1.5
97,149,6.2,3.4,5.4,2.3
98,109,6.7,2.5,5.8,1.8
99,64,6.1,2.9,4.7,1.4
100,15,5.8,4.0,1.2,0.2
101,82,5.5,2.4,3.7,1.0
102,41,5.0,3.5,1.3,0.3
103,80,5.7,2.6,3.5,1.0
104,52,6.4,3.2,4.5,1.5
105,26,5.0,3.0,1.6,0.2
106,76,6.6,3.0,4.4,1.4
107,43,4.4,3.2,1.3,0.2
108,24,5.1,3.3,1.7,0.5
109,136,7.7,3.0,6.1,2.3
110,121,6.9,3.2,5.7,2.3
111,143,5.8,2.7,5.1,1.9
